Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_Easting,UTM_Northing,Zone,Letter
1698708459.2421095,265,1698708459,240222215,GPS1_Frame,42.270071666666674,-71.03384166666666,15.2,332272.76321499515,4681765.482781337,19,T
1698708460.2439005,266,1698708460,240560054,GPS1_Frame,42.270014999999994,-71.03395,15.8,332263.67848888773,4681759.403882289,19,T
1698708461.2416317,267,1698708461,239904403,GPS1_Frame,42.269960000000005,-71.03405833333333,16.7,332254.5981679462,4681753.510062721,19,T
1698708462.2418053,268,1698708462,239708423,GPS1_Frame,42.26990166666666,-71.03416666666666,17.5,332245.5089889163,4681747.24611825,19,T
1698708463.3052487,269,1698708463,303279876,GPS1_Frame,42.269845000000004,-71.03427333333335,18.2,332236.5616681131,4681741.163969307,19,T
1698708464.2428215,270,1698708464,240942478,GPS1_Frame,42.26978666666667,-71.03437833333334,18.8,332227.7473630636,4681734.893479122,19,T
1698708465.243685,271,1698708465,240885734,GPS1_Frame,42.269728333333326,-71.03448499999999,19.4,332218.79558882525,4681728.626283892,19,T
1698708466.2415922,272,1698708466,240246295,GPS1_Frame,42.26967,-71.03459,19.9,332209.9812519069,4681722.35581521,19,T
1698708467.2419853,273,1698708467,239919900,GPS1_Frame,42.26961333333334,-71.03469833333334,20.4,332200.89641441073,4681716.276994579,19,T
1698708468.2421422,274,1698708468,240032434,GPS1_Frame,42.26955666666666,-71.03480666666665,20.8,332191.81156099867,4681710.198185297,19,T
1698708469.2422736,275,1698708469,240614652,GPS1_Frame,42.2695,-71.03491666666667,21.3,332182.5892378395,4681704.122672353,19,T
1698708470.241432,276,1698708470,239984750,GPS1_Frame,42.26944333333333,-71.03502833333333,21.7,332173.229444569,4681698.050456274,19,T
1698708471.2413445,277,1698708471,240148305,GPS1_Frame,42.26938666666667,-71.03514166666668,22.1,332163.73218081053,4681691.981537605,19,T
1698708472.241154,278,1698708472,239909410,GPS1_Frame,42.269330000000004,-71.03525833333333,22.5,332153.9599919999,4681685.919202424,19,T
1698708473.240461,279,1698708473,239384889,GPS1_Frame,42.269275,-71.035375,22.9,332144.19220991514,4681680.041948527,19,T
